timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 17:16:18 2026,1778586378.0828116,Delhi,Haze,36.05,39.6,41,997,5.14,5000,63.42,-54.98,185.33,3.95,583
Tue May 12 17:17:19 2026,1778586439.4061248,Delhi,Haze,36.05,39.6,41,997,5.14,5000,62.31,-54.83,101.48,3.92,587
Tue May 12 17:18:20 2026,1778586500.1916294,Delhi,Haze,36.05,39.6,41,997,5.14,5000,61.21,-53.6,555.03,3.9,591
Tue May 12 17:19:22 2026,1778586562.2800145,Delhi,Haze,36.05,39.6,41,997,5.14,5000,60.10,-59.12,569.42,3.87,595
Tue May 12 17:20:22 2026,1778586622.936053,Delhi,Haze,36.05,39.6,41,997,5.14,5000,58.99,-56.09,980.35,3.85,599
Tue May 12 17:21:24 2026,1778586684.927038,Delhi,Haze,36.05,39.6,41,997,5.14,5000,57.88,-52.42,771.42,3.99,603
Tue May 12 17:22:25 2026,1778586745.4145606,Delhi,Haze,36.05,39.6,41,997,5.14,5000,56.78,-51.82,228.94,3.96,607
Tue May 12 17:23:24 2026,1778586804.6469033,Delhi,Haze,36.05,39.6,41,997,5.14,5000,55.78,-59.77,892.14,3.94,610
Tue May 12 17:24:25 2026,1778586865.6602187,Delhi,Haze,36.05,39.6,41,997,5.14,5000,54.68,-54.29,362.08,3.92,614
Tue May 12 17:25:27 2026,1778586927.203121,Delhi,Haze,36.05,39.6,41,997,5.14,5000,53.57,-62.91,516.37,3.89,618
Tue May 12 17:26:27 2026,1778586987.5016685,Delhi,Haze,36.05,39.6,41,997,5.14,5000,52.47,-59.76,374.69,3.86,622
Tue May 12 17:27:27 2026,1778587047.842571,Delhi,Haze,36.05,39.6,41,997,5.14,5000,51.37,-53.16,117.5,3.84,626
Tue May 12 17:28:29 2026,1778587109.4084115,Delhi,Haze,36.05,39.6,41,997,5.14,5000,50.26,-56.21,734.18,3.97,630
Tue May 12 17:30:29 2026,1778587229.7048757,Delhi,Haze,36.05,39.6,41,997,5.14,5000,48.56,-56.34,667.9,3.93,637
Tue May 12 17:31:30 2026,1778587290.7389078,Delhi,Haze,36.05,39.6,41,997,5.14,5000,47.45,-55.17,201.27,3.91,641
Tue May 12 17:32:31 2026,1778587351.3465817,Delhi,Haze,36.05,39.6,41,997,5.14,5000,46.35,-52.38,518.34,3.88,645
Tue May 12 17:33:31 2026,1778587411.3485713,Delhi,Haze,36.05,39.6,41,997,5.14,5000,45.25,-52.66,638.55,3.86,649
Tue May 12 17:34:32 2026,1778587472.342519,Delhi,Haze,36.05,39.6,41,997,5.14,5000,44.15,-49.21,496.49,3.83,653
Tue May 12 17:35:33 2026,1778587533.7788858,Delhi,Haze,36.05,39.6,41,997,5.14,5000,43.04,-60.43,157.58,3.96,657
Tue May 12 17:36:32 2026,1778587592.4536474,Delhi,Haze,36.05,39.6,41,997,5.14,5000,42.04,-52.76,95.89,3.95,660
Tue May 12 17:37:33 2026,1778587653.05556,Delhi,Haze,36.05,39.6,41,997,5.14,5000,40.94,-56.09,297.95,3.92,664
Tue May 12 17:38:32 2026,1778587712.7954996,Delhi,Haze,36.05,39.6,41,997,5.14,5000,39.94,-59.12,191.87,3.9,667
Tue May 12 17:40:33 2026,1778587833.8383975,Delhi,Haze,36.05,39.6,41,997,5.14,5000,38.24,-55.7,603.6,3.86,674
Tue May 12 17:41:34 2026,1778587894.7689118,Delhi,Haze,36.05,39.6,41,997,5.14,5000,37.13,-56.86,99.97,3.84,678
Tue May 12 17:42:35 2026,1778587955.2117844,Delhi,Haze,36.05,39.6,41,997,5.14,5000,36.03,-55.33,78.84,3.96,682
Tue May 12 17:43:35 2026,1778588015.140901,Delhi,Haze,36.05,39.6,41,997,5.14,5000,35.03,-53.84,486.19,3.95,685
Tue May 12 17:44:34 2026,1778588074.965436,Delhi,Haze,36.05,39.6,41,997,5.14,5000,34.03,-51.78,359.86,4.08,688
Tue May 12 17:45:36 2026,1778588136.3341117,Delhi,Haze,36.05,39.6,41,997,5.14,5000,32.93,-57.7,276.71,4.05,692
Tue May 12 17:46:37 2026,1778588197.3266764,Delhi,Haze,36.05,39.6,41,997,5.14,5000,31.82,-52.69,69.03,4.32,696
Tue May 12 17:47:37 2026,1778588257.9584513,Delhi,Haze,36.05,39.6,41,997,5.14,5000,30.72,-55.28,682.61,4.29,700
Tue May 12 17:48:38 2026,1778588318.1360016,Delhi,Haze,36.05,39.6,41,997,5.14,5000,29.62,-52.88,549.38,4.27,704
Tue May 12 17:49:38 2026,1778588378.6186838,Delhi,Haze,36.05,39.6,41,997,5.14,5000,28.51,-46.33,635.41,4.24,708
Tue May 12 17:51:39 2026,1778588499.4724157,Delhi,Haze,35.05,38.26,43,997,4.12,5000,26.81,-49.95,1343.94,4.2,715
Tue May 12 17:52:40 2026,1778588560.1616464,Delhi,Haze,35.05,38.26,43,997,4.12,5000,25.71,-57.02,512.35,4.18,719
Tue May 12 17:54:42 2026,1778588682.7576425,Delhi,Haze,35.05,38.26,43,997,4.12,5000,23.99,-55.87,77.49,4.14,726
Tue May 12 17:55:45 2026,1778588745.966921,Delhi,Haze,35.05,38.26,43,997,4.12,5000,22.88,-49.64,198.57,4.12,730
Tue May 12 17:56:43 2026,1778588803.985547,Delhi,Haze,35.05,38.26,43,997,4.12,5000,21.89,-55.17,684.12,4.1,733
