timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 16:02:47 2026,1778581967.9843862,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,37.75,-64.32,568.17,4.46,315
Tue May 12 16:04:48 2026,1778582088.996374,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,36.04,-55.08,89.89,4.36,322
Tue May 12 16:05:50 2026,1778582150.1947274,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,34.94,-52.04,130.71,4.31,326
Tue May 12 16:06:50 2026,1778582210.4707706,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,33.83,-59.56,1407.72,4.26,330
Tue May 12 16:07:50 2026,1778582270.9966068,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,32.73,-60.19,373.58,4.2,334
Tue May 12 16:08:50 2026,1778582330.433174,Bangalore,Clouds,33.07,33.27,37,1003,13.41,8000,31.73,-56.7,364.15,4.17,337
Tue May 12 16:09:51 2026,1778582391.6895075,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,30.63,-56.67,305.98,4.41,341
Tue May 12 16:10:52 2026,1778582452.138085,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,29.53,-58.19,724.04,4.36,345
Tue May 12 16:11:51 2026,1778582511.4136455,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,28.53,-60.28,674.19,4.32,348
Tue May 12 16:12:53 2026,1778582573.4368334,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,27.42,-58.68,733.81,4.27,352
Tue May 12 16:13:53 2026,1778582633.2040925,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,26.42,-58.38,446.69,4.52,355
Tue May 12 16:14:53 2026,1778582693.573352,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,25.32,-55.54,332.14,4.47,359
Tue May 12 16:15:54 2026,1778582754.6871302,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,24.21,-60.4,449.19,4.7,363
Tue May 12 16:16:53 2026,1778582813.5561252,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,23.22,-63.07,58.94,4.66,366
Tue May 12 16:17:56 2026,1778582876.2782674,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,22.11,-58.28,83.29,4.61,370
Tue May 12 16:18:56 2026,1778582936.4939902,Bangalore,Clouds,33.13,33.36,37,1004,13.41,8000,21.00,-58.13,546.56,4.56,374
Tue May 12 16:19:59 2026,1778582999.6519268,Bangalore,Clouds,33.1,33.32,37,1004,13.41,8000,19.89,-62.05,590.11,4.51,378
Tue May 12 16:20:58 2026,1778583058.8191109,Bangalore,Clouds,33.1,33.32,37,1004,13.41,8000,18.89,-59.21,773.29,4.47,381
Tue May 12 16:21:58 2026,1778583118.46427,Bangalore,Clouds,33.1,33.32,37,1004,13.41,8000,17.89,-67.25,619.33,4.44,384
Tue May 12 16:22:58 2026,1778583178.0513318,Bangalore,Clouds,33.1,33.32,37,1004,13.41,8000,16.90,-59.01,287.87,4.4,387
Tue May 12 16:23:59 2026,1778583239.1305563,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,15.79,-59.55,508.76,4.36,391
Tue May 12 16:25:59 2026,1778583359.6270368,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,14.09,-57.73,402.35,4.28,398
Tue May 12 16:27:00 2026,1778583420.8188243,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,12.98,-61.7,592.65,4.24,402
Tue May 12 16:28:01 2026,1778583481.8514526,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,11.88,-57.55,355.58,4.2,406
Tue May 12 16:29:08 2026,1778583548.0428803,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,10.75,-60.79,1280.46,4.16,410
Tue May 12 16:30:01 2026,1778583601.7565663,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,9.78,-57.13,648.03,4.13,413
Tue May 12 16:31:01 2026,1778583661.9362252,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,8.68,-57.22,112.55,4.09,417
Tue May 12 16:32:03 2026,1778583723.0588627,Bangalore,Clouds,33.08,33.49,38,1003,13.41,8000,7.57,-61.25,264.03,4.05,421
Tue May 12 16:33:02 2026,1778583782.9110217,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,6.57,-56.81,566.65,4.26,424
Tue May 12 16:34:02 2026,1778583842.9783492,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,5.47,-60.12,528.54,4.22,428
Tue May 12 16:35:04 2026,1778583904.4142618,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,4.36,-56.7,335.54,4.18,432
Tue May 12 16:36:04 2026,1778583964.5124032,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,3.26,-57.67,641.16,4.14,436
Tue May 12 16:37:04 2026,1778584024.84149,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,2.16,-58.43,395.77,4.1,440
Tue May 12 16:38:06 2026,1778584086.1688285,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,1.06,-64.9,768.09,4.06,444
Tue May 12 16:39:05 2026,1778584145.3785214,Bangalore,Clouds,33.09,33.3,37,1003,13.41,8000,0.06,-64.98,432.74,4.04,447
Tue May 12 16:40:07 2026,1778584207.2311518,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,100.00,-58.0,439.86,4.0,451
Tue May 12 16:41:05 2026,1778584265.5154183,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,99.01,-55.24,486.11,3.97,454
Tue May 12 16:42:06 2026,1778584326.1369631,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,97.91,-58.96,139.38,3.94,458
Tue May 12 16:43:07 2026,1778584387.7768402,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,96.80,-58.95,594.74,3.9,462
Tue May 12 16:44:08 2026,1778584448.602535,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,95.69,-60.68,564.14,3.87,466
Tue May 12 16:45:09 2026,1778584509.9016297,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,94.59,-61.58,229.13,3.84,470
Tue May 12 16:46:08 2026,1778584568.9708247,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,93.59,-60.4,471.74,3.81,473
Tue May 12 16:47:09 2026,1778584629.880798,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,92.49,-64.79,255.47,3.78,477
Tue May 12 16:48:10 2026,1778584690.4011264,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,91.38,-60.43,538.41,3.75,481
Tue May 12 16:49:11 2026,1778584751.819433,Bangalore,Clouds,33.01,33.38,38,1005,13.41,8000,90.28,-60.6,460.71,3.72,485
Tue May 12 16:50:11 2026,1778584811.6727598,Bangalore,Clouds,33.03,33.03,36,1005,13.41,8000,89.28,-62.61,104.05,3.7,488
Tue May 12 16:51:11 2026,1778584871.7907033,Bangalore,Clouds,33.03,33.03,36,1005,13.41,8000,88.18,-58.69,763.38,3.67,492
Tue May 12 16:52:12 2026,1778584932.280742,Bangalore,Clouds,33.03,33.03,36,1005,13.41,8000,87.07,-56.36,452.56,3.64,496
Tue May 12 16:53:12 2026,1778584992.4610274,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,85.97,-56.88,602.77,3.61,500
Tue May 12 16:54:13 2026,1778585053.2063868,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,84.87,-62.13,719.42,3.58,504
Tue May 12 16:55:12 2026,1778585112.9198036,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,83.87,-61.16,301.41,3.56,507
Tue May 12 16:56:14 2026,1778585174.0892134,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,82.77,-63.11,637.7,3.53,511
Tue May 12 16:57:15 2026,1778585235.7242937,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,81.66,-63.03,683.87,3.5,515
Tue May 12 16:58:15 2026,1778585295.1238585,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,80.66,-53.95,580.09,3.48,518
Tue May 12 16:59:16 2026,1778585356.431067,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,79.55,-59.04,285.54,3.45,522
Tue May 12 17:00:16 2026,1778585416.1413136,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,78.56,-62.08,257.25,3.44,525
Tue May 12 17:01:17 2026,1778585477.1977572,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,77.45,-58.25,312.5,3.41,529
Tue May 12 17:02:17 2026,1778585537.0920026,Bangalore,Clouds,32.93,32.88,36,1005,12.96,8000,76.45,-59.16,761.59,3.39,532
Tue May 12 17:03:17 2026,1778585597.962227,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,75.35,-56.09,111.29,3.36,536
Tue May 12 17:04:18 2026,1778585658.054886,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,74.25,-59.61,1460.8,3.34,540
Tue May 12 17:05:20 2026,1778585720.775791,Bangalore,Clouds,33.03,33.22,37,1005,12.96,8000,73.13,-64.13,188.46,3.31,544
